link,make again,name,rating,summary,tag
/recipes/food/views/spicy-lightly-pickled-cucumbers,100%,Spicy Lightly Pickled Cucumbers,4,"These quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread.",recipe
/recipes/food/views/cucumbers-with-ajo-blanco-sauce,100%,Cucumbers with Ajo Blanco Sauce,4,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",recipe
/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,0%,Cold Beef Tenderloin with Tomatoes and Cucumbers,2,"Beef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare.",recipe
/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,100%,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,3,"Take your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious).",recipe
/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,100%,Grain Salad with Tomatoes and Cucumbers,3,We call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.,recipe
/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,0%,Charred Cabbage with Goat Cheese Raita and Cucumbers,2,Go hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.,recipe
/recipes/food/views/cucumber-seaweed-salad,0%,Cucumber-Seaweed Salad,0,A ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.,recipe
/recipes/food/views/pineapple-shrimp-noodle-bowls,73%,Pineapple Shrimp Noodle Bowls,3.5,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.,recipe
/recipes/food/views/sambal-shrimp-lettuce-wraps,50%,Sambal Shrimp Lettuce Wraps,3.5,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.",recipe
/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,0%,Smashed Cucumber Salad with Lemon and Celery Salt,0,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",recipe
